Platform,Date,Number of Content Titles
Stan,July 2018,2321
Stan,August 2018,2352
Stan,September 2018,2361
Stan,October 2018,2388
Stan,November 2018,2513
Stan,December 2018,2564
Stan,January 2019,2773
Stan,February 2019,2698
Stan,March 2019,2695
Stan,April 2019,2675
Stan,May 2019,2620
Stan,June 2019,2687
Stan,July 2019,2728
Stan,August 2019,2730
Stan,September 2019,2745
Stan,October 2019,2836
Stan,November 2019,2976
Stan,December 2019,2954
Stan,January 2020,3006
Stan,February 2020,3021
Stan,March 2020,2970
Stan,April 2020,3006
Stan,May 2020,3024
Stan,June 2020,3075
Stan,July 2020,3098
Stan,August 2020,3141
Stan,September 2020,3170
Stan,October 2020,3333
Stan,November 2020,3430
Stan,December 2020,3662
Stan,January 2021,3682
Stan,February 2021,3821
Stan,March 2021,3917
Stan,April 2021,3999
Stan,May 2021,3981
Stan,June 2021,3975
